Allendale/Irvington/S. Hilton,34.46969065942523,59224
Beechfield/Ten Hills/West Hills,33.67832967912458,44482
Belair-Edison,35.06111331381921,41746
Brooklyn/Curtis Bay/Hawkins Point,35.00702417999186,163442
Canton,35.15855215540271,14308
Cedonia/Frankford,34.69083951301467,66439
Cherry Hill,34.97568611617014,27075
Chinquapin Park/Belvedere,34.34896577560259,19516
Orchard Ridge/Armistead,34.80316929385922,56863
Clifton-Berea,35.92003842832376,21654
Cross-Country/Cheswolde,34.14475616465394,35499
Dickeyville/Franklintown,32.47347956965736,33167
Dorchester/Ashburton,34.62588915038812,31695
Downtown/Seton Hill,35.46461626407977,19255
Edmondson Village,33.384745139653845,21884
Fells Point,35.21006692800735,11718
Forest Park/Walbrook,33.362277035857254,34556
Glen-Fallstaff,34.80003222216499,43644
Greater Charles Village/Barclay,35.7243392345571,25127
Greater Govans,34.52536686225289,21072
Greater Mondawmin,34.99126598478629,31284
Greater Roland Park/Poplar Hill,33.75562333788139,52665
Greater Rosemont,34.77646333435898,39193
Hamilton,34.4191644114994,41969
Hamilton Hills,34.328079504559646,60698
Highlandtown,35.715363098754544,10856
Howard Park/West Arlington,34.138308102858744,58755
Inner Harbor/Federal Hill,35.191437359884695,23237
Greater Lauraville,34.25493132225802,46125
Loch Raven,34.34675620866231,41015
Madison/East End,36.8575855568322,8258
Hampden/Remington,34.938677802578134,58004
Midway/Coldstream,35.777803121830814,16607
Morrell Park/Violetville,35.076467981956995,62664
Mount Washington/Coldspring,33.32106493603534,52891
North Baltimore/Guilford/Homeland,34.11291702622443,69566
Northwood,34.5699786846688,48984
Greektown/Bayview,35.31016612379378,83475
Patterson Park North & East,36.33537083035572,13487
Penn North/Reservoir Hill,34.51963131151659,38141
Pimlico/Arlington/Hilltop,35.06089429986357,28244
Poppleton/The Terraces/Hollins Market,35.23849237837982,8632
Sandtown-Winchester/Harlem Park,35.23658512121203,21991
South Baltimore,34.93317734911025,43046
Southeastern,34.8716401985505,103284
Southern Park Heights,34.8430118731814,25874
Southwest Baltimore,35.33155030018078,35079
The Waverlies,35.438650957548695,18946
Pigtown/Carroll Park,35.30550137438833,36544
Westport/Mount Winans/Lakeland,35.10568227607223,42248
Unassigned -- Jail,36.62683987226642,1464
Oldtown/Middle East,36.27686573264737,22823
Harbor East/Little Italy,35.424927791612326,9498
Upton/Druid Heights,35.50441778134325,15758
Midtown,36.05407758558491,22130
Oliver/Johnson Square,36.047539478796764,17718
